"beta1","beta2"
0.008470974431361838,0.04321534632342268
0.0030715295753407372,0.03829210095696058
0.007200809917157447,0.03206296619862306
0.018901805560284063,0.02494361729459334
0.023701278775802137,0.02016595734877571
0.016041416060840998,0.027339662371405903
0.017804965590738783,0.027221243210001227
0.03310665013591385,0.014418393560730478
0.0022509048133603085,0.03513787414875251
0.008089649642945416,0.03335507226651444
0.04095673698343195,0.006486110567469073
0.00007306234070851645,0.03817864230828091
0.02951078833971283,0.01693619201908367
0.004545237955240887,0.03530774136280858
0.009562581953672412,0.0304174583814584
0.005728312525300667,0.046305428977700375
0.014360743654029328,0.03075727926247597
0.024415767396845936,0.01734991733801475
0.0090961252918896,0.03780251487354868
0.0055629312723682834,0.04062585312465937
0.02340083948800407,0.02138882943989055
0.019743376975542206,0.024850703719466193
0.013358148303182594,0.03538231028533764
0.01437001867783851,0.031757375846076075
0.023939381213573765,0.019806481850111458
0.013894501036275507,0.0322461139568939
0.020904093966194713,0.020864242981306326
0.01934207105725119,0.023416795224601678
0.010820580733481345,0.03461225458831996
0.020691988436157632,0.02355121160435947
0.003530025085247028,0.037301957224819576
0.0001382925980744992,0.036621937864966495
0.018834133361437185,0.026088683037905163
0.04090774047181914,0.005285459364586171
0.02928228374652309,0.013726580706721767
0.01450175909927428,0.029968616818528353
0.03800704176937276,0.004779793392115161
0.014571456483157847,0.02641821522599194
0.027999109717052002,0.016774123379076265
0.019818056967157764,0.02368699430130544
0.011750436790081966,0.02859503125621439
0.003971252434494947,0.04125788511571948
0.03653514674798126,0.010094413937367602
0.01979527782225083,0.02280448779797528
0.029958137867002858,0.009663965668673315
0.000694788178318485,0.050587570283622256
0.0030668676892549747,0.03761421442930707
0.014712463713745166,0.030887819502073068
0.028398084208375526,0.009600280709008284
0.014837931622754522,0.03259711363978719
0.03748880123861769,0.003931480980683084
0.01674839238928817,0.027971766274905812
0.02070165358369705,0.022453875185003414
0.0032676716653715133,0.034975862041270595
0.012238822147669616,0.033455636073453116
0.03961529840371442,0.004494190038882097
0.0040948646431714,0.0475601881507342
0.01761859428578339,0.024813736412572344
0.002070361514513295,0.048705841478700246
0.033287605189919744,0.01304180833945432
0.015115542934556298,0.0324913893614343
0.005355602756744951,0.03512446396836611
0.013619358943136728,0.029791599621967726
0.010303232589875031,0.031215514451440548
0.000807934076288934,0.03707287448737715
0.01755605184365697,0.026162931232643634
0.008420781587466297,0.031513463897720126
0.02223217901062063,0.02364571013628273
0.022330430524597142,0.019025013674920987
0.0063752595346193396,0.04157166356768439
0.015170457183079222,0.029610812892179785
0.007841714926130665,0.03061600344635361
0.025551525968582452,0.01897809693489582
0.03792999814950837,0.0038967150469823523
0.0017676107385356605,0.04500110915740544
0.009387265868219547,0.030230247641275222
0.022149556099905023,0.022455094336759983
0.029321883822415618,0.010752374216127495
0.009726251640850744,0.03217169151744801
0.0314757585324373,0.006387992438448757
0.007753174991884165,0.03215974766721875
0.012562905532253825,0.03358239610067042
0.004914496176581299,0.04492061311816217
0.03387917844654856,0.005334657011588728
0.01573924641743077,0.029716399561576463
0.021596491430627477,0.02264681260406245
0.04038893253730882,0.005227805876793173
0.012713539921417945,0.03220858240397504
0.019999976373907904,0.024909063994738582
0.017781620825374954,0.027309456943951017
0.01324448258606748,0.03422224540563969
0.0026664863887040724,0.04999088321076375
0.024042877191603935,0.020568401997797126
0.021864791608829252,0.020397464497375492
0.0021824773534258966,0.04930465543401991
0.002144907718713384,0.05091146452111993
0.023410935626589646,0.020185983074791518
0.028971530945755882,0.016859140666813235
0.006124595224853677,0.03290062336563741
0.008726132119730081,0.031451282025266994
0.008070936087618065,0.031843613353195285
0.028405751555061077,0.013559287240245285
0.0192008530025235,0.0233006854570824
0.009697862617690307,0.04120327410095794
0.008145626732552307,0.03969803083176048
0.011934916668069657,0.03632909158740941
0.02310871007643458,0.020392280200368873
0.009443038818556314,0.03300863865436017
0.010764697019901457,0.031354593832871695
0.01521402827021324,0.028543001306093937
0.015209244326544219,0.025101646916316098
0.02973437150244886,0.018817620777088487
0.03449757631016518,0.012081675161068757
0.029641331550143122,0.00958330474977077
0.013022714700061323,0.027767677240454234
0.0069743890038025756,0.040696905978420544
0.0006404977642416509,0.05000395940161409
0.00030687381395680857,0.05136497300390233
0.040783578171111036,0.008860069050606649
0.004368727385064056,0.04132989700579489
0.010147925554034683,0.029698740992736204
0.007083831486459463,0.03328369510066883
0.02221129000804059,0.020212616925713137
0.027408814214185468,0.021142949572668757
0.023826251717349374,0.016380177694725724
0.014641515695715437,0.02458243796348008
0.03376154750516021,0.005788136284672668
0.006004971688579365,0.04339068007760896
0.03106898293525366,0.008862586706486549
0.003752599495554775,0.03477579525312337
0.024174608400986515,0.018358565227783452
0.006988779674046126,0.03231027439089183
0.0025595270377677774,0.03485760443778307
0.024913607463018926,0.019339751959567053
0.039955593533259455,0.0036058787547808505
0.00801884695689902,0.038251524572955324
0.00877581672886097,0.031420759708272177
0.012061219254109488,0.027419694781808276
0.002463470757711715,0.05092813911490118
0.010813427697584806,0.03776838073519097
0.026029957564016253,0.012697802435053637
0.020350550251282,0.02688709561742838
0.02437706268052435,0.019406374834613153
0.023083250600130906,0.022565189871696197
0.019391784547575494,0.024018201723363903
0.007338448456785246,0.04576373572996756
0.017702764767114167,0.024484023559025753
0.0029850073144964146,0.03576431274379954
0.0066871483131526474,0.03403474866962287
0.041302559655658606,0.008180269393000242
0.01194400225512416,0.032026982813800065
0.006945889328316425,0.03322924281351422
